id,n,v_1,v_2,v_3,v_4,v_5,k,r,seed,gens,algorithm,kind,p_1,p_2,p_3,p_4,p_5,optimised error,suzuki error,% error,time
174,5,-0.3979323703039153,0.7449030414795164,-0.6185938100318349,0.9644931611512844,0.7723213477174344,2,100,858138413,250,CMAES,p,0.4108956293153329,0.4122778388512815,-0.6540948067103014,0.4122386165360219,0.4186818318211496,0.0007324789836771608,0.002128309832178264,34.41599397807084,652.5760164260864
1,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,50,373276626,250,CMAES,p,0.41169152144093846,0.4160024169952455,-0.6522768406910618,0.4128113826157858,0.4117028547976336,0.008410138055551577,0.018174168263084534,46.27522940147029,593.0972933769226
2,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,50,554197088,250,CMAES,p,0.41300895358564055,0.4155594747022143,-0.6523209447853251,0.4088247453227137,0.4148593132452325,0.00839810243559358,0.018174168263084534,46.20900562834476,595.4734442234039
3,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,50,858138413,250,CMAES,p,0.4110061863056216,0.4158070087236662,-0.652298025908259,0.41590644982574265,0.40950956148836426,0.0084196638727767,0.018174168263084534,46.32764344918478,587.9963042736053
4,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,100,373276626,250,CMAES,p,0.41266927574517537,0.413433739334006,-0.6561947697117746,0.4158579539990538,0.41422866090297583,0.0006140410033907554,0.0013303233875396954,46.15727342254464,657.2367398738861
5,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,100,554197088,250,CMAES,p,0.41390518334194887,0.41214864288609326,-0.6561953871314506,0.414606665656701,0.415529760524525,0.0006140173657419205,0.0013303233875396954,46.15549658774971,660.3012828826904
6,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,100,858138413,250,CMAES,p,0.4133349353374862,0.41408194915788427,-0.6561880587106801,0.4143500817053096,0.4144159493447263,0.000613759380240984,0.0013303233875396954,46.136103896968436,659.8853447437286
175,5,-0.3979323703039153,0.7449030414795164,-0.6185938100318349,0.9644931611512844,0.7723213477174344,2,150,373276626,250,CMAES,p,0.41434401661144155,0.4169010652977962,-0.6561802233917539,0.41548866951189856,0.4094462680926316,0.00015189134285680954,0.0004344160113251166,34.96449000429089,721.2931444644928
176,5,-0.3979323703039153,0.7449030414795164,-0.6185938100318349,0.9644931611512844,0.7723213477174344,2,150,554197088,250,CMAES,p,0.41099881736085486,0.4161487480355712,-0.6561767745367431,0.41750634838367384,0.4115226698755553,0.00015186582735220232,0.0004344160113251166,34.95861648583345,724.688707113266
177,5,-0.3979323703039153,0.7449030414795164,-0.6185938100318349,0.9644931611512844,0.7723213477174344,2,150,858138413,250,CMAES,p,0.4129109144120239,0.417161650129658,-0.6561357492415043,0.41336870373922624,0.4126943255303365,0.00015173944729205246,0.0004344160113251166,34.92952454243008,723.0867941379547
