,exp,row,n,k,r,t,p_1,p_2,p_3,p_4,p_5,v_1,v_2,v_3,v_4,v_5,original_error,suzuki_error,error,v_suz_error
85,15,86,5,2,100,10,0.413425749195243,0.41606025282493303,-0.655608452020279,0.412645642528264,0.41346971868884497,-0.661367279794385,-0.42197654755254105,-0.387778521482807,0.276500423122041,0.546495634937345,0.000638245671521,0.002038292324166,0.000804660619486,0.001325351076186945
86,15,87,5,2,100,10,0.413425749195243,0.41606025282493303,-0.655608452020279,0.412645642528264,0.41346971868884497,-0.9841367855768679,-0.9650485460071669,-0.846669503278965,0.7322006869326719,0.207149266092126,0.000638245671521,0.002038292324166,0.0006384504157810001,0.0015496853723569685
87,15,88,5,2,100,10,0.413425749195243,0.41606025282493303,-0.655608452020279,0.412645642528264,0.41346971868884497,0.7297072757774871,0.447839255393184,0.490581639140507,-0.29706902302901,0.12372533925097899,0.000638245671521,0.002038292324166,0.000921672275605,0.0012645441833974325
88,15,89,5,2,100,10,0.413425749195243,0.41606025282493303,-0.655608452020279,0.412645642528264,0.41346971868884497,-0.6079946789875109,-0.06423701943454499,0.48655339694384003,0.603396998069534,0.208584538461168,0.000638245671521,0.002038292324166,0.0008892397439119999,0.001244024298279538
89,15,90,5,2,100,10,0.413425749195243,0.41606025282493303,-0.655608452020279,0.412645642528264,0.41346971868884497,0.832047234333674,-0.341285605018889,0.543920354933582,0.476415729153106,-0.23428940593775,0.000638245671521,0.002038292324166,0.0007562689848450001,0.0017733698696874574
90,15,91,5,2,100,10,0.413411006762941,0.41464293433519295,-0.6563134865849589,0.413682438969211,0.414572857520175,-0.10697142702071599,0.529058605311209,0.5043258788245539,-0.34826462467060304,-0.950258369325947,0.0005788954224939999,0.0012640933430010002,0.000672820870475,0.001330323387528409
91,15,92,5,2,100,10,0.413411006762941,0.41464293433519295,-0.6563134865849589,0.413682438969211,0.414572857520175,0.09640984945486199,0.16554078304766,-0.7392959233634109,-0.329631476009917,-0.471443856758978,0.0005788954224939999,0.0012640933430010002,0.000605609703305,0.0013095710366606828
92,15,93,5,2,100,10,0.413411006762941,0.41464293433519295,-0.6563134865849589,0.413682438969211,0.414572857520175,-0.141482629457203,0.49927993735163895,-0.845004439908944,0.562920582689051,-0.616606646912017,0.0005788954224939999,0.0012640933430010002,0.0011191091182899998,0.0020382923241751925
93,15,94,5,2,100,10,0.413411006762941,0.41464293433519295,-0.6563134865849589,0.413682438969211,0.414572857520175,0.9990841044966379,0.219647910521367,0.159237006964318,0.7608713011021461,0.85138532629344,0.0005788954224939999,0.0012640933430010002,0.0005788954224939999,0.0012640933429922281
94,15,95,5,2,100,10,0.413411006762941,0.41464293433519295,-0.6563134865849589,0.413682438969211,0.414572857520175,0.546249156306116,-0.100683572622685,0.6027915688719189,-0.29350042748625,0.5026005440096201,0.0005788954224939999,0.0012640933430010002,0.000792976602365,0.0015359722434719841
95,15,96,5,2,100,10,0.413411006762941,0.41464293433519295,-0.6563134865849589,0.413682438969211,0.414572857520175,0.990454069341024,-0.244450416361064,0.7955458787759091,0.42909686644376294,0.926566143656515,0.0005788954224939999,0.0012640933430010002,0.000820838953705,0.0016526556537151892
96,15,97,5,2,100,10,0.413411006762941,0.41464293433519295,-0.6563134865849589,0.413682438969211,0.414572857520175,-0.08680268277826499,0.9132962777942599,-0.7319367414760491,-0.328949316263272,-0.547092014721715,0.0005788954224939999,0.0012640933430010002,0.000881355116167,0.0017035836136133665
97,15,98,5,2,100,10,0.413411006762941,0.41464293433519295,-0.6563134865849589,0.413682438969211,0.414572857520175,-0.7969527881951409,-0.20411592444163895,-0.640705294580916,0.544002121401565,0.624880749612272,0.0005788954224939999,0.0012640933430010002,0.000925867987374,0.0016187542698847361
